,artist,track,track_uri
221,Black Rob,Whoa!,spotify:track:71u5SjnkSQgzIt1UzHchbi
222,Dr. Octagon,"Blue Flowers"" (portion sampled samples ""Bumpin' Bus Stop"" by Thunder and Lightning)",spotify:track:1K1nzhbKCNmrNXi9B07mPF
223,Rihanna,Rude Boy,spotify:track:60jzFy6Nn4M0iD1d94oteF
224,Foxy Brown,Hot Spot,spotify:track:27vsyn5d9HPSkeLleEnL1x
225,OMG Girlz featuring New Boyz,Haterz,spotify:track:3M7iNNiHSYpU0SYydq66Ph
226,Beastie Boys,"Paul Revere"" (portion sampled samples ""It's Yours"" by T La Rock and Jazzy Jay)",spotify:track:3gKwVWwKmeuFtPubICbOGc
227,M.O.P.,"Ante Up"" (portion sampled samples ""Soul Sister, Brown Sugar"" by Sam & Dave)",spotify:track:5YzA563GXTuwQaRq24z1k5
228,Amerie,"Why R U"" (portion sampled samples ""Ego Trippin'"" by Ultramagnetic MCs)",spotify:track:5aFQ8js9G12JzIJN9Ct9ET
229,Ice Cube,We Be Clubbin',spotify:track:6lvFwGSTUZQWwqGdRYtcdk
230,The Notorious B.I.G.,Hypnotize,spotify:track:7KwZNVEaqikRSBSpyhXK2j
231,Ol' Dirty Bastard,Shimmy Shimmy Ya,spotify:track:3ABG1UQTk0eLYUAeWkmfMi
232,Prince,Delirious,spotify:track:5zWhtlFS3w52HjN4ayOUgR
233,Beastie Boys,Hey Ladies,spotify:track:5ulZo7nk3MByXLvja3NCAc
234,"Mr. Cheeks featuring Missy Elliot, Diddy, and Petey Pablo","Lights, Camera, Action! (Remix)",spotify:track:36gOOIQaBwXZVKL5z2vC3Z
235,Bananarama,Cruel Summer,spotify:track:2EGaDf0cPX789H3LNeB03D
236,Genesis,"Tonight, Tonight, Tonight",spotify:track:3qmYlsTbC9CD9SGoVmaEDa
237,The Jackson 5,I Want You Back,spotify:track:5LxvwujISqiB8vpRYv887S
238,Beastie Boys,"Intergalactic"" (portion sampled samples ""The New Style"" by Beastie Boys)",spotify:track:5fpizYGbi5IQoEraj6FP0R
239,Simon and Garfunkel,Cecilia,spotify:track:6QhXQOpyYvbpdbyjgAqKdY
240,Main Source,Looking at the Front Door,spotify:track:3gb5bGKt38kfetqZ35DlLp
241,James Brown,Funky Drummer,spotify:track:0VbpqlboEkGQ7Pu6juJljZ
242,Ludacris featring Lil Scrappy,"Everybody Drunk"" (portion sampled samples ""You Don't Want Drama"" by 8Ball & MJG)",spotify:track:4q3nmeNA5FsBj7vzhl6sgu
243,Robert Palmer,Addicted to Love,spotify:track:5izGeTxueiFX1UPFGohY9w
244,DJ OGB featuring Francisco and Gemeni,Hands Up,spotify:track:0I1eFRytp4XRhLCjT6tZm7
245,Lady Gaga,Bad Romance,spotify:track:0SiywuOBRcynK0uKGWdCnn
246,George Clinton,Atomic Dog,spotify:track:4cgodXjv4TfrooNQxvlO4O
247,Kraftwerk,It's More Fun to Compute,spotify:track:6osBF39U3SsmhXbPLQ6hu7
248,Black Eyed Peas,Boom Boom Pow,spotify:track:7xRNsqOQOgWbHV1nbXnfXN
249,Gucci Mane featuring Usher,Spotlight,spotify:track:07MDkzWARZaLEdKxo6yArG
250,Starpoint,Object of My Desire,spotify:track:63Ql2zSLiBryLRPihaUToK
251,Outkast featuring Sleepy Brown,The Way You Move,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ
252,MGMT,Kids,spotify:track:1jJci4qxiYcOHhQR247rEU
253,Afro-Rican,Give It All You Got (Doggy Style),spotify:track:1NqaWsa2lBS10WNMBj8lec
254,Dominique Young Unique,Show My Ass,spotify:track:3BGppswSnFNGUSFiJ6rj4n
255,T. Rex,20th Century Boy,spotify:track:66hdYurKbEfP74fvWtR7mj
256,Kylie Minogue,Can't Get You Out of My Head,spotify:track:0bXDtWisYpSaG4vpRvEeyo
257,Trick Daddy featuring The Slip-N-Slide Express,Take It to Da House,spotify:track:4yugZvBYaoREkJKtbG08Qr
258,The Temptations,Get Ready,spotify:track:676Rf0qIOh2gKNEl9TnCOx
259,T.I. featuring Keri Hilson,Got Your Back,spotify:track:698eQRku24PIYPQPHItKlA
260,Birdman featuring Drake and Lil Wayne,Money to Blow,spotify:track:1dg3qy5DjoJodawfOCgrTP
261,The Isley Brothers,Shout,spotify:track:2ZNTPtYmAhN9vCwnAgqKn1
262,Blue Oyster Cult,(Don't Fear) the Reaper,spotify:track:62MusiSAIVgYmjhUzYPZsK
263,The Cars,Moving in Stereo,spotify:track:5xLfQuX5YAfog2JgPz0dpA
264,N.E.R.D,Everyone Nose (All the Girls Standing in the Line for the Bathroom),spotify:track:0VVJkld0IvkEXAAOsx70sh
265,Bone Thugs-n-Harmony,1st of tha Month,spotify:track:1dF5Y2dd7Wm4wZKvVjWBpr
266,Drake,Over,spotify:track:6BdgtqiV3oXNqBikezwdvC
267,Ludacris,"How Low"" (portion sampled samples ""Bring the Noise"" by Public Enemy)",spotify:track:1WtTLtofvcjQM3sXSMkDdX
268,Devo,Gates of Steel,spotify:track:65Z7fRcwn29IKCXpRS7CGk
269,Wiz Khalifa,Black and Yellow,spotify:track:5A6OHHy73AR5tLxgTc98zz
270,Fine Young Cannibals,Good Thing (Prince Paul remix),spotify:track:4WepovxTw1IxNmGuGBE878
271,Modern English,I Melt with You,spotify:track:6J2rMSRhgb4HuX6dWgM3nJ
